Height(m)  TDay(K)   TNight(K)  PDay(Pa)  PNight(Pa)   DDay(kg/m3)   DNight(kg/m3)
100000.    175.0      175.0     2.70e-00   2.70e-00     8.14E-05     8.03E-05
105000.    175.0      156.0     7.56e-01   6.61e-01     2.25E-05     2.21E-05
110000.    178.0      138.0     2.13e-01   1.45e-01     6.21E-06     5.44E-06
115000.    182.0      131.0     6.20e-02   2.79e-02     1.76E-06     1.09E-06
120000.    189.0      129.0     1.88e-02   5.21e-03     5.08E-07     2.02E-07
125000.    198.0      128.0     5.99e-03   9.76e-04     1.54E-07     3.69E-08
130000.    206.0      127.6     2.05e-03   1.91e-04     4.97E-08     6.85E-09
135000.    215.0      127.5     7.50e-04   4.24e-05 	1.69E-08     1.36E-09
140000.    225.0      127.4     2.95e-04   1.18e-05	6.13E-09     3.13E-10
145000.    236.0      127.4     1.26e-04   4.32e-06	2.37E-09     9.19E-11
150000.    246.5      127.4     5.96e-05   1.90e-06  	9.94E-10     3.42E-11 

