   Height(m)        T(K)sza15        T(K)sza34        T(K)sza61        T(K)sza90        T(K)sza119       T(K)sza146       T(K)sza165         P(Pa)sza15        P(Pa)sza34      P(Pa)sza61       P(Pa)sza90      P(Pa)sza119       P(Pa)sza146      P(Pa)sza165     D(kg/m3)sza15   D(kg/m3)sza34    D(kg/m3)sza61    D(kg/m3)sza90    D(kg/m3)sza119   D(kg/m3)sza146   D(kg/m3)sza165
   150000.000       246.500000       250.399994       250.699997       201.500000       138.500000       123.500000       127.400002       5.96099999E-05   4.33999994E-05   3.46499983E-05   8.56899987E-06   3.05499998E-06   2.65499989E-06   2.65499989E-06   9.93999993E-10   6.80000001E-10   5.47999979E-10   1.41000003E-10   4.73000007E-11   4.64999983E-11   3.42000005E-11
   155000.000       257.399994       261.799988       262.799988       209.800003       139.199997       123.500000       127.400002       3.08400013E-05   2.34399995E-05   1.86199995E-05   4.53399980E-06   1.66999996E-06   1.32900004E-06   1.32900004E-06   4.50000009E-10   3.18999993E-10   2.54999993E-10   6.22000021E-11   2.22000005E-11   2.05999991E-11   1.50999994E-11
   160000.000       265.000000       269.799988       271.299988       215.699997       139.800003       123.500000       127.400002       1.72900000E-05   1.37300003E-05   1.08499999E-05   2.66000006E-06   9.87500016E-07   7.15199974E-07   7.15199974E-07   2.22000002E-10   1.63999994E-10   1.29999997E-10   3.14000007E-11   1.13000000E-11   9.84000034E-12   7.29000020E-12
   165000.000       270.500000       275.500000       277.399994       219.899994       140.100006       123.500000       127.400002       1.04399996E-05   8.50800006E-06   6.76099990E-06   1.66500001E-06   6.35200024E-07   4.15800002E-07   4.15800002E-07   1.19000004E-10   9.05000033E-11   7.17000001E-11   1.74999997E-11   6.16999984E-12   4.97000011E-12   3.72000000E-12
   170000.000       274.399994       279.500000       281.700012       222.800003       140.399994       123.500000       127.400002       6.60500018E-06   5.56699979E-06   4.42400005E-06   1.08899997E-06   4.37399990E-07   2.62199990E-07   2.62199990E-07   6.76000020E-11   5.34999996E-11   4.23000003E-11   1.05000002E-11   3.52000005E-12   2.61999992E-12   1.95000006E-12
   175000.000       277.100006       282.399994       284.700012       224.899994       140.600006       123.500000       127.400002       4.38799998E-06   3.79299991E-06   3.01199998E-06   7.37999983E-07   3.22599988E-07   1.79699995E-07   1.79699995E-07   4.09999985E-11   3.35000014E-11   2.64000002E-11   6.67000006E-12   2.10000008E-12   1.44000003E-12   1.05000004E-12
   180000.000       279.000000       284.399994       286.799988       226.399994       140.699997       123.500000       127.400002       3.00900001E-06   2.65099993E-06   2.11499992E-06   5.10199982E-07   2.53800010E-07   1.33599997E-07   1.33599997E-07   2.61000006E-11   2.18999992E-11   1.73000000E-11   4.37999984E-12   1.31999999E-12   8.33000010E-13   5.81999997E-13
   185000.000       280.399994       285.899994       288.399994       227.500000       140.800003       123.500000       127.400002       2.11599991E-06   1.88800004E-06   1.52300004E-06   3.59000012E-07   2.07900001E-07   1.06300000E-07   1.06300000E-07   1.73000000E-11   1.47999998E-11   1.18000002E-11   2.95000005E-12   8.66999994E-13   5.09999974E-13   3.33000012E-13
   190000.000       281.399994       286.899994       289.399994       228.199997       140.800003       123.500000       127.400002       1.52400003E-06   1.36799997E-06   1.10500002E-06   2.55999993E-07   1.77800004E-07   8.89099994E-08   8.89099994E-08   1.19000001E-11   1.02999996E-11   8.22000020E-12   2.02000005E-12   6.03999977E-13   3.35000013E-13   1.98999996E-13
   195000.000       282.100006       287.600006       290.200012       228.699997       140.899994       123.500000       127.400002       1.10300005E-06   1.00800003E-06   8.14799989E-07   1.86400001E-07   1.56200002E-07   7.70199975E-08   7.70199975E-08   8.31000026E-12   7.35999976E-12   5.86999980E-12   1.41000005E-12   4.44000007E-13   2.35000008E-13   1.26000000E-13
   200000.000       282.500000       288.100006       290.700012       229.100006       140.899994       123.500000       127.400002       8.10299980E-07   7.46800026E-07   6.06100002E-07   1.36799997E-07   1.40099999E-07   6.85899977E-08   6.85899977E-08   5.93999979E-12   5.32000008E-12   4.25999990E-12   9.88000046E-13   3.44000002E-13   1.77000003E-13   8.49000029E-14
   205000.000       282.899994       288.500000       291.100006       229.399994       140.899994       123.500000       127.400002       5.99399982E-07   5.56899977E-07   4.54299993E-07   1.02100003E-07   1.27000007E-07   6.19000033E-08   6.19000033E-08   4.30000003E-12   3.88999987E-12   3.12999995E-12   7.00000008E-13   2.76999994E-13   1.40000004E-13   6.14000021E-14
   210000.000       283.100006       288.700012       291.399994       229.600006       141.000000       123.500000       127.400002       4.45399991E-07   4.18899987E-07   3.42300012E-07   7.73599993E-08   1.16800003E-07   5.67200011E-08   5.67200011E-08   3.13999998E-12   2.88000006E-12   2.32000009E-12   4.99999998E-13   2.31999993E-13   1.15999997E-13   4.74000010E-14
