m_one_cable_total,m_cables_total,dominant_pendulum_period_s,dominant_torsion_period_s,max_gondola_swing_angle_deg,max_gondola_swing_rate_deg_s,max_gondola_yaw_deg,max_gondola_yaw_rate_deg_s,peak_total_cable_tension_N,peak_per_cable_tension_N,dynamic_static_tension_ratio,maximum_torsional_torque_Nm,required_imu_sampling_10x_hz,feasible,violations,sweep_name,varied_parameter,varied_value
0.05,0.2,11.064,6.708,9.01,9.42,9.11,8.001,914.7,228.7,1.047,2.205,809.5,OK,OK,m_one_cable_total,m_one_cable_total,0.05
0.21,0.84,11.013,6.708,9.04,9.61,9.11,8.0,922.4,230.6,1.049,2.251,394.7,OK,OK,m_one_cable_total,m_one_cable_total,0.211
0.37,1.49,10.962,6.708,9.06,9.79,9.11,8.001,930.2,232.5,1.051,2.271,297.7,OK,OK,m_one_cable_total,m_one_cable_total,0.372
0.53,2.13,10.912,6.707,9.1,10.03,9.11,7.997,938.7,234.7,1.054,2.296,249.1,OK,OK,m_one_cable_total,m_one_cable_total,0.533
0.69,2.78,10.863,6.707,9.14,10.26,9.11,7.982,946.9,236.7,1.057,2.314,218.7,OK,OK,m_one_cable_total,m_one_cable_total,0.694
0.86,3.42,10.815,6.707,9.18,10.48,9.1,7.991,955.2,238.8,1.059,2.348,197.2,OK,OK,m_one_cable_total,m_one_cable_total,0.856
1.02,4.07,10.768,6.707,9.23,10.44,9.1,7.956,961.0,240.3,1.059,2.407,181.2,OK,OK,m_one_cable_total,m_one_cable_total,1.017
1.18,4.71,10.722,6.707,9.27,10.49,9.1,7.999,967.3,241.8,1.059,2.396,168.7,OK,OK,m_one_cable_total,m_one_cable_total,1.178
1.34,5.36,10.677,6.707,9.3,10.61,9.1,8.001,974.7,243.7,1.061,2.465,158.5,OK,OK,m_one_cable_total,m_one_cable_total,1.339
1.5,6.0,10.632,6.707,9.34,11.26,9.09,7.993,987.8,246.9,1.069,2.464,149.9,OK,OK,m_one_cable_total,m_one_cable_total,1.5
