L_susp,N_cables,r_attach,m_gondola,m_one_cable_total,m_cables_total,zeta_pendulum,zeta_torsion,gondola_shape,I_gondola_tilt,I_gondola_yaw,gondola_reference_size,disturbance_case,pend_initial_angle_deg,pend_initial_rate_deg_s,torsion_initial_twist_deg,torsion_initial_yaw_rate_deg_s,dominant_pendulum_period_s,dominant_torsion_period_s,dominant_pendulum_frequency_hz,dominant_torsion_frequency_hz,max_gondola_swing_angle_deg,max_gondola_swing_rate_deg_s,max_gondola_yaw_deg,max_gondola_yaw_rate_deg_s,settling_time_pendulum_s,settling_time_torsion_s,peak_total_cable_tension_N,peak_per_cable_tension_N,minimum_per_cable_tension_N,dynamic_static_tension_ratio,maximum_torsional_torque_Nm,maximum_torsion_element_twist_deg,f_max_relevant_hz,required_imu_sampling_10x_hz,required_imu_sampling_20x_hz,feasible,violations,case_id,sweep_name,varied_parameter,varied_value
8.0,4,0.5,100.0,0.2,0.8,0.005,0.001,cube,16.7,16.7,side=1.00,high,8.0,3.0,8.0,3.0,10.513,4.899,0.0951,0.2041,9.33,13.58,8.73,10.594,1338.6,3118.6,925.0,231.2,216.9,1.052,4.045,0.9427,55.5043,555.0,1110.1,FAIL,L_susp>=10m,0,L_susp,L_susp,8.0
9.75,4,0.5,100.0,0.2,0.8,0.005,0.001,cube,16.7,16.7,side=1.00,high,8.0,3.0,8.0,3.0,10.631,5.408,0.0941,0.1849,8.88,12.22,8.84,9.676,1353.6,3442.8,924.9,231.2,217.1,1.052,3.362,0.9526,50.277,502.8,1005.5,FAIL,L_susp>=10m,1,L_susp,L_susp,9.75
11.5,4,0.5,100.0,0.2,0.8,0.005,0.001,cube,16.7,16.7,side=1.00,high,8.0,3.0,8.0,3.0,10.754,5.873,0.093,0.1703,8.94,10.67,8.93,8.991,1369.2,3739.0,920.7,230.2,217.1,1.047,2.881,0.9629,46.2938,462.9,925.9,OK,OK,2,L_susp,L_susp,11.5
13.25,4,0.5,100.0,0.2,0.8,0.005,0.001,cube,16.7,16.7,side=1.00,high,8.0,3.0,8.0,3.0,10.882,6.304,0.0919,0.1586,8.99,10.73,8.99,8.442,1385.6,4013.4,927.6,231.9,217.0,1.055,2.525,0.9695,43.1285,431.3,862.6,OK,OK,3,L_susp,L_susp,13.25
15.0,4,0.5,100.0,0.2,0.8,0.005,0.001,cube,16.7,16.7,side=1.00,high,8.0,3.0,8.0,3.0,11.016,6.708,0.0908,0.1491,9.04,9.6,9.11,7.997,1402.6,4270.3,921.9,230.5,217.0,1.049,2.252,0.979,40.5346,405.3,810.7,OK,OK,4,L_susp,L_susp,15.0
16.75,4,0.5,100.0,0.2,0.8,0.005,0.001,cube,16.7,16.7,side=1.00,high,8.0,3.0,8.0,3.0,11.154,7.088,0.0897,0.1411,9.08,8.56,9.21,7.625,1420.2,4512.5,916.5,229.1,217.0,1.043,2.036,0.9885,38.3588,383.6,767.2,OK,OK,5,L_susp,L_susp,16.75
18.5,4,0.5,100.0,0.2,0.8,0.005,0.001,cube,16.7,16.7,side=1.00,high,8.0,3.0,8.0,3.0,11.297,7.449,0.0885,0.1342,9.12,8.89,9.26,7.313,1438.4,4742.4,924.7,231.2,217.0,1.052,1.853,0.9983,36.4994,365.0,730.0,OK,OK,6,L_susp,L_susp,18.5
20.25,4,0.5,100.0,0.2,0.8,0.005,0.001,cube,16.7,16.7,side=1.00,high,8.0,3.0,8.0,3.0,11.444,7.794,0.0874,0.1283,9.16,8.52,9.36,7.048,1457.1,4961.6,925.2,231.3,217.0,1.053,1.714,1.0082,34.8867,348.9,697.7,OK,OK,7,L_susp,L_susp,20.25
22.0,4,0.5,100.0,0.2,0.8,0.005,0.001,cube,16.7,16.7,side=1.00,high,8.0,3.0,8.0,3.0,11.595,8.123,0.0862,0.1231,9.2,7.84,9.46,6.816,1476.3,5171.5,921.3,230.3,216.9,1.048,1.592,1.0156,33.4704,334.7,669.4,OK,OK,8,L_susp,L_susp,22.0
15.0,3,0.5,100.0,0.2,0.6,0.005,0.001,cube,16.7,16.7,side=1.00,high,8.0,3.0,8.0,3.0,11.032,6.708,0.0906,0.1491,9.03,9.54,9.11,8.004,1404.6,4270.3,919.6,306.5,288.8,1.048,2.234,0.9752,46.7819,467.8,935.6,OK,OK,9,N_cables,N_cables,3
15.0,4,0.5,100.0,0.2,0.8,0.005,0.001,cube,16.7,16.7,side=1.00,high,8.0,3.0,8.0,3.0,11.016,6.708,0.0908,0.1491,9.04,9.6,9.11,7.997,1402.6,4270.3,921.9,230.5,217.0,1.049,2.252,0.979,40.5346,405.3,810.7,OK,OK,10,N_cables,N_cables,4
15.0,5,0.5,100.0,0.2,1.0,0.005,0.001,cube,16.7,16.7,side=1.00,high,8.0,3.0,8.0,3.0,11.0,6.708,0.0909,0.1491,9.04,9.65,9.11,8.003,1400.6,4270.2,924.3,184.9,174.0,1.049,2.262,0.9838,36.2734,362.7,725.5,OK,OK,11,N_cables,N_cables,5
15.0,6,0.5,100.0,0.2,1.2,0.005,0.001,cube,16.7,16.7,side=1.00,high,8.0,3.0,8.0,3.0,10.984,6.708,0.091,0.1491,9.05,9.71,9.11,8.003,1398.6,4270.2,926.7,154.4,145.3,1.05,2.287,0.9906,33.1295,331.3,662.6,OK,OK,12,N_cables,N_cables,6
15.0,7,0.5,100.0,0.2,1.4,0.005,0.001,cube,16.7,16.7,side=1.00,high,8.0,3.0,8.0,3.0,10.969,6.708,0.0912,0.1491,9.06,9.79,9.11,7.997,1396.6,4270.2,929.3,132.8,124.7,1.051,2.298,0.9934,30.6874,306.9,613.7,OK,OK,13,N_cables,N_cables,7
15.0,8,0.5,100.0,0.2,1.6,0.005,0.001,cube,16.7,16.7,side=1.00,high,8.0,3.0,8.0,3.0,10.953,6.708,0.0913,0.1491,9.07,9.82,9.11,7.989,1394.6,4270.2,931.5,116.4,109.4,1.051,2.303,0.9965,28.7198,287.2,574.4,OK,OK,14,N_cables,N_cables,8
