=====================================================================================================================================================================
Table: sensitivity to 'r'  (other parameters at baseline)
=====================================================================================================================================================================
r [m]  T_tors [s]  f_tors [Hz]  max_yaw [deg]  max_yaw_rate [deg/s]  max_tau [N.m]  max_eta [deg]  T_pend [s]  max_swing [deg]  IMU_fs_10x [Hz]  feasible  violations
-----  ----------  -----------  -------------  --------------------  -------------  -------------  ----------  ---------------  ---------------  --------  ----------
 0.30      11.165       0.0896          10.20                 5.366          0.901         1.0899      11.016             9.04            405.3      FAIL  yaw<=10deg
 0.54       6.167       0.1621           9.02                 8.602          2.639         0.9700      11.016             9.04            405.3        OK          OK
 0.79       4.263       0.2346           8.57                12.052          5.409         0.9444      11.016             9.04            405.3        OK          OK
 1.03       3.268       0.3060           8.32                15.538          9.163         0.9333      11.016             9.04            405.4        OK          OK
 1.28       2.653       0.3770           8.11                19.028         13.961         0.9290      11.016             9.04            405.4        OK          OK
 1.52       2.239       0.4466           8.07                22.450         19.853         0.9315      11.016             9.04            405.4        OK          OK
 1.77       1.941       0.5153           8.04                25.824         26.709         0.9297      11.016             9.04            405.4        OK          OK
 2.01       1.717       0.5823           8.01                29.077         35.425         0.9521      11.016             9.04            405.4        OK          OK
 2.26       1.543       0.6481           8.00                32.231         45.274         0.9668      11.016             9.04            405.4        OK          OK
 2.50       1.404       0.7120           8.00                35.493         55.460         0.9645      11.016             9.04            405.4        OK          OK
