============================================================================================================================================
Table: sensitivity to 'zeta_pendulum'  (other parameters at baseline)
============================================================================================================================================
zeta_pend [-]  T_pend [s]  max_swing [deg]  max_swing_rate [deg/s]  t_set_pend [s]  T_per_cab_max [N]  IMU_fs_10x [Hz]  feasible  violations
-------------  ----------  ---------------  ----------------------  --------------  -----------------  ---------------  --------  ----------
       0.0010      11.016             9.16                   10.18          7013.0              231.8            405.3        OK          OK
       0.0031      11.016             9.04                    9.87          2255.0              231.1            405.3        OK          OK
       0.0052      11.016             9.04                    9.57          1343.5              230.4            405.3        OK          OK
       0.0073      11.016             9.03                    9.28           956.8              229.8            405.3        OK          OK
       0.0094      11.016             9.03                    9.01           742.9              229.2            405.3        OK          OK
       0.0116      11.016             9.03                    8.75           606.7              228.7            405.3        OK          OK
       0.0137      11.016             9.03                    8.51           513.0              228.2            405.3        OK          OK
       0.0158      11.016             9.02                    8.28           444.4              227.8            405.3        OK          OK
       0.0179      11.016             9.02                    8.07           392.0              227.4            405.3        OK          OK
       0.0200      11.016             9.02                    7.86           350.7              227.0            405.3        OK          OK
