===================================================================================================================================================
Table: sensitivity to 'zeta_torsion'  (other parameters at baseline)
===================================================================================================================================================
zeta_tors [-]  T_tors [s]  max_yaw [deg]  max_yaw_rate [deg/s]  t_set_tors [s]  max_tau [N.m]  max_eta [deg]  IMU_fs_10x [Hz]  feasible  violations
-------------  ----------  -------------  --------------------  --------------  -------------  -------------  ---------------  --------  ----------
       0.0010       6.708           9.11                 7.997          4270.3          2.252         0.9790            405.3        OK          OK
       0.0031       6.708           8.62                 7.955          1373.1          2.246         0.9766            405.3        OK          OK
       0.0052       6.708           8.62                 7.929           818.1          2.245         0.9761            405.3        OK          OK
       0.0073       6.708           8.61                 7.903           582.6          2.244         0.9755            405.3        OK          OK
       0.0094       6.708           8.61                 7.877           452.4          2.243         0.9750            405.3        OK          OK
       0.0116       6.708           8.61                 7.851           369.4          2.241         0.9745            405.3        OK          OK
       0.0137       6.708           8.61                 7.825           312.4          2.240         0.9740            405.3        OK          OK
       0.0158       6.708           8.61                 7.799           270.6          2.239         0.9735            405.3        OK          OK
       0.0179       6.708           8.61                 7.774           238.7          2.238         0.9730            405.3        OK          OK
       0.0200       6.708           8.61                 7.748           213.5          2.237         0.9726            405.3        OK          OK
